               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.075156,            0.089604,           0.0069927,             0.31312,             0.28209,             0.20478,            0.053801,            0.069561,            0.067344,            0.036311,            0.002872,            0.002872,            0.002872
                  38,            0.074418,            0.090213,           0.0067732,             0.30743,             0.27827,             0.20331,            0.051523,            0.069669,            0.068033,            0.034498,            0.002674,            0.002674,            0.002674
                  39,            0.073995,            0.089166,           0.0064599,             0.31225,             0.29745,             0.21117,            0.052159,            0.069822,             0.06818,             0.03436,            0.002476,            0.002476,            0.002476
                  40,            0.074525,            0.088085,           0.0066982,             0.31153,              0.2532,             0.18772,            0.047134,            0.070108,            0.071037,            0.038683,            0.002278,            0.002278,            0.002278
                  41,             0.07449,            0.090222,           0.0053661,             0.32237,              0.2818,             0.20999,             0.05362,            0.069815,            0.068423,            0.035665,             0.00208,             0.00208,             0.00208
                  42,            0.073914,            0.087536,           0.0056443,             0.29261,              0.3035,             0.20629,            0.051569,            0.070221,            0.068788,            0.030213,            0.001882,            0.001882,            0.001882
                  43,            0.073281,             0.08559,           0.0060739,             0.34027,             0.27805,             0.21326,            0.053008,            0.069644,            0.069378,            0.040322,            0.001684,            0.001684,            0.001684
                  44,            0.073667,             0.08743,           0.0056828,             0.31423,             0.31456,             0.22727,            0.055498,            0.069697,            0.068805,            0.033098,            0.001486,            0.001486,            0.001486
                  45,            0.073753,            0.089093,           0.0048751,             0.31303,              0.2939,             0.21336,            0.052667,            0.069713,            0.069969,            0.032713,            0.001288,            0.001288,            0.001288
                  46,            0.073324,            0.088877,            0.004864,             0.30136,             0.29675,             0.20462,            0.050624,            0.070193,            0.069061,            0.038248,             0.00109,             0.00109,             0.00109
                  47,            0.072973,            0.086824,           0.0047403,             0.31746,             0.29445,             0.21638,            0.054113,            0.069675,            0.069061,            0.036484,            0.000892,            0.000892,            0.000892
                  48,            0.073184,             0.08643,           0.0044123,             0.32052,             0.29686,             0.22324,            0.054403,            0.069954,            0.069532,            0.034219,            0.000694,            0.000694,            0.000694
                  49,            0.072842,            0.087261,           0.0044403,             0.30675,             0.28404,             0.21112,            0.051964,            0.070116,            0.069979,            0.036614,            0.000496,            0.000496,            0.000496
